node,capital
Wrapped Ether,101372073.17316812
Wrapped liquid staked Ether 2.0,63140126.105680905
Wrapped BTC,58080041.1068991
USD Coin,51328048.17046574
Dai Stablecoin,3902805.217704752
ChainLink Token,5706208.264102457
Aave Token,5574577.765534256
Coinbase Wrapped Staked ETH,358438.9636043362
Tether USD,61283289.25739862
Rocket Pool ETH,2515546.937381432
LUSD Stablecoin,85677.8233343733
Curve DAO Token,208169.4994513882
Maker,473036.2083496965
Synthetix Network Token,250337.62388628162
Balancer,290273.09060677496
Uniswap,1153848.1167617233
Lido DAO Token,46322.67849583218
Ethereum Name Service,110386.8691501378
1INCH Token,16331.105103275597
Frax,11310.542387024765
Gho Token,4887240.0912965
Rocket Pool Protocol,151600.36651985138
Savings Dai,51971.46424598063
StargateToken,131.4995869463514
Kyber Network Crystal v2,1281.2290926213195
Frax Share,799.7372074539215
Curve.Fi USD Stablecoin,19904.67371494484
PayPal USD,266451.3770917542
Wrapped eETH,67235202.7256814
Staked ETH,1513085.4680739802
USDe,690054.2403567709
ETHx,592222.2551961485
Staked USDe,12828503.732588686
tBTC v2,1865060.818630006
Coinbase Wrapped BTC,7347861.713776653
USDS Stablecoin,4604653.052870431
rsETH,20924522.095148448
Lombard Staked Bitcoin,1310685.8920601038
0x000000000000000000000000000000000000dEaD,112.03925198748456
0x0000000000bbF5c5Fd284e657F01Bd000933C96D,885.1633800194378
0x0000000087bf5615B053Dcabf78c93aa4e5B9c76,57605.328323712136
0x00000000b083504037aa01c2d7297F6d459d5Fc3,9373.7020937625
0x00000015E180b01c40b881e10774Bc784bB6F4Eb,14.89266460847054
0x000000B9054e79892A1097f4E02e7AA42de22c0C,313.60294107977944
0x00000688768803Bbd44095770895ad27ad6b0d95,19337.29577707292
0x00003FcAC5ecEDCa580CE31F57e92822d9f74747,2062.4887872209592
0x00006da0E72b377E4be66cFB4522CE0786fc0000,63.27696296195795
0x00009F8dff93888a98030C95f87b2a6ed6db0000,17.60758296045879
0x0000CB5b014044b6BcA44F386c86592911D90000,14.093076034007863
0x0000aC6Fcf8c237eb2596C91F893B1Fa39A30000,46.44425366008032
0x0000f0D34d51D23B0dd75A6b720c7F4f10430000,39.02543964031855
0x000250150f8Fc5030700090ac5F9006Fa3a40134,35163.34146797922
0x0002BAa2408311a9f23BAac9ec62c8857F4b3f88,9060.47408036299
0x000566C635E030893301ACCfaf2c97a2Abd492eB,73621.54482694875
0x000B2D85dcCFf3DB1c5aaAD2ef9698fCE95F4dB9,68976.10902686988
0x000Fe38f07584839bD8F437c20B4cD0D7dE5E983,137033.94271799276
0x000c67a69c247A0397c49FFf453C5f2a8E1F2992,21745.153139321348
0x000e340b4640316D90D611cf0FB9EdA6Ba93C087,68531.24558098137
0x001076a29493CF2ACE3474Bfe308688effAf12Cb,376362.4819978795
0x001099E93DB8D9401B11685fE341cc5E19FDF8FE,10715.018330199811
0x00159370Cbe576b765a7fb2E78582E0cB563d445,191.6130030687902
0x00166e72CCcb2aA2981DbbE4Cc17D467Dc10e7F0,13881.345827102672
0x00171Ab2F44c1C9b21C7696Eb1A5C601f05A9167,127302.16644547618
0x0018EA4baB28d0737A77164D2331790C49cE0734,52504.07768939387
0x001Cc5C3B9c8591b7c306A7494E16DCDC7ee1BeA,10008.4554337172
0x001be549fa377710B9e59d57bbdf593CE1e379ca,12.585477881177754
0x001fF1c258209a6E33eaf850da4F9080386c0C3b,14015.575292572594
0x0020586B6E2A9A4E159d9f6003C6E10E6Ed05066,1512705.1709356783
0x002183113F3Fedc5B494080954E5E8FAeB070Fd3,793064.5998795237
0x00227dD82fAe1220bDAC630297753BB2cB4e8dDd,539163.2993826524
0x00236feEAC26ef92552e3981096350D136084C64,114308.76
0x00257CD46a4Ec5823B972eDFeeD1Fb7d956b34C5,15747.86016468949
0x0026C6B07d0F2B3a0b5525123E69686211202db9,836.634701013074
0x0029Ab135b5Be72168BF80F140D60a9264dbD0C5,9.96265137929992
0x002C0910740839f5A929896F545b1526665DAb09,55717.08648840533
